transaction_date,description,category,amount
2026-03-18,Fuel Station,Transport,1811.73
2025-01-29,Clicks,Shopping,1907.58
2025-10-24,Spotify,Entertainment,4895.02
2026-02-05,Electricity,Utilities,2931.43
2025-05-24,Showmax,Entertainment,2094.66
2025-01-15,Doctor Visit,Medical,1366.55
2025-12-11,Fuel Station,Transport,4409.71
2026-02-01,Spotify,Entertainment,1296.26
2025-02-16,Sanlam,Insurance,4569.9
2025-01-05,Electricity,Utilities,786.42
2026-04-09,Fuel Station,Transport,3241.97
2025-05-06,Sanlam,Insurance,3600.63
2025-12-18,Fuel Station,Transport,702.68
2026-07-18,Netflix,Entertainment,576.68
2026-02-24,Netflix,Entertainment,2651.37
2026-08-22,Spotify,Entertainment,2609.23
2025-11-19,Electricity,Utilities,328.72
2025-07-06,Water Bill,Utilities,287.68
2026-06-10,Takealot,Shopping,1966.57
2025-01-18,Fuel Station,Transport,2979.7
2026-03-10,Old Mutual,Insurance,3603.51
2026-03-13,Bolt,Transport,3568.65
2025-10-25,Netflix,Entertainment,3088.07
2025-08-27,Electricity,Utilities,2712.11
2025-02-24,Clicks,Shopping,4976.76
2025-08-06,Sanlam,Insurance,3408.58
2025-09-03,Pick n Pay,Food,2080.38
2025-06-13,Pharmacy,Medical,218.71
2026-02-07,Woolworths,Food,4491.76
2026-01-16,Fuel Station,Transport,1693.41
2025-05-13,Bolt,Transport,3683.73
2025-05-23,Spotify,Entertainment,4499.15
2025-12-15,Uber,Transport,3451.14
2025-01-31,Uber,Transport,1061.18
2025-10-05,Clicks,Shopping,2921.54
2026-05-05,Amazon,Shopping,3268.27
2025-12-22,Old Mutual,Insurance,4035.13
2026-02-13,Old Mutual,Insurance,901.43
2026-07-22,Discovery,Insurance,451.82
2025-05-13,Pharmacy,Medical,4205.97
2025-05-05,Electricity,Utilities,1886.77
2026-08-02,Doctor Visit,Medical,1835.09
2025-07-18,Spotify,Entertainment,2238.06
2026-06-16,Amazon,Shopping,2183.72
2026-07-13,Discovery,Insurance,624.79
2025-02-09,Amazon,Shopping,4292.32
2026-08-06,Takealot,Shopping,3526.68
2025-09-06,Doctor Visit,Medical,259.75
2025-05-18,Woolworths,Food,1979.47
2025-05-25,Takealot,Shopping,1761.93
2026-07-15,KFC,Food,1858.81
2025-01-30,Old Mutual,Insurance,1875.8
2026-01-07,Water Bill,Utilities,100.0
2026-05-16,Takealot,Shopping,2279.18
2026-01-06,Discovery,Insurance,1644.34
2026-05-27,Netflix,Entertainment,548.55
2025-12-28,Discovery,Insurance,1924.05
2025-06-20,Spotify,Entertainment,1702.48
2026-04-28,Sanlam,Insurance,4830.58
2025-08-22,Clicks,Shopping,4839.85
2025-08-01,Pharmacy,Medical,3726.78
2026-06-12,Uber,Transport,870.16
2025-08-12,Amazon,Shopping,2685.69
2025-12-07,Bolt,Transport,551.79
2025-06-02,KFC,Food,330.67
2025-05-06,Discovery,Insurance,960.26
2026-08-05,Doctor Visit,Medical,2122.57
2025-03-13,Clicks,Shopping,323.16
2026-07-22,Doctor Visit,Medical,507.23
2025-07-17,Old Mutual,Insurance,653.27
2026-08-07,Takealot,Shopping,4766.47
2025-01-15,Spotify,Entertainment,3349.14
2025-10-31,Clicks,Shopping,4294.46
2026-06-16,McDonalds,Food,1792.2
2026-01-09,Clicks,Shopping,2421.8
2026-07-09,KFC,Food,1650.07
2026-02-07,Old Mutual,Insurance,984.63
2026-07-11,Discovery,Insurance,3814.84
2026-05-09,Uber,Transport,4718.66
2025-11-27,KFC,Food,4090.23
2025-07-17,Pick n Pay,Food,4716.47
2025-02-27,Clicks,Shopping,1918.17
2025-07-25,Water Bill,Utilities,4659.49
2025-01-12,Fuel Station,Transport,1923.18
2026-03-19,Doctor Visit,Medical,4351.16
2026-05-11,Uber,Transport,1405.88
2025-08-21,Pharmacy,Medical,4180.85
2026-05-07,Amazon,Shopping,966.22
2025-08-12,Water Bill,Utilities,113.28
2025-05-31,Woolworths,Food,3338.67
2026-05-05,Pharmacy,Medical,706.03
2025-06-08,Takealot,Shopping,4035.65
2026-05-03,Uber,Transport,1584.08
2026-07-06,Checkers,Food,505.52
2025-07-14,Fuel Station,Transport,791.28
2026-04-04,KFC,Food,3256.24
2025-01-02,Bolt,Transport,3299.15
2025-07-18,Fuel Station,Transport,166.19
2026-02-15,Pick n Pay,Food,1375.63
2026-07-02,Doctor Visit,Medical,3216.78
2026-04-03,KFC,Food,3360.76
2025-03-03,Takealot,Shopping,4186.25
2025-08-21,Fuel Station,Transport,2220.31
2025-03-09,Sanlam,Insurance,2031.61
2025-02-14,Bolt,Transport,663.63
2025-11-08,Pick n Pay,Food,1481.01
2025-09-23,Discovery,Insurance,4985.43
2026-03-06,Electricity,Utilities,2346.3
2026-04-27,Doctor Visit,Medical,379.72
2025-01-28,Pharmacy,Medical,1449.76
2025-05-06,Spotify,Entertainment,983.23
2025-10-17,Pharmacy,Medical,2469.44
2026-08-19,Uber,Transport,3240.47
2026-08-05,Discovery,Insurance,4985.64
2025-10-17,Showmax,Entertainment,694.49
2026-08-15,Spotify,Entertainment,2317.29
2026-02-12,Takealot,Shopping,4949.88
2026-01-31,Fuel Station,Transport,2964.07
2026-02-03,Bolt,Transport,2370.2
2025-06-22,Doctor Visit,Medical,1910.77
2026-03-02,Netflix,Entertainment,4245.42
2025-05-25,Woolworths,Food,2408.14
2026-02-04,Fuel Station,Transport,1067.41
2026-08-04,McDonalds,Food,3079.47
2025-10-24,Discovery,Insurance,1022.0
2025-10-04,Netflix,Entertainment,2010.06
2026-07-06,Pick n Pay,Food,507.6
2025-07-15,McDonalds,Food,4788.58
2026-07-11,Doctor Visit,Medical,1496.7
2025-07-29,Electricity,Utilities,3871.07
2026-05-29,Discovery,Insurance,1280.76
2026-05-22,Spotify,Entertainment,1505.87
2025-02-20,Amazon,Shopping,957.12
2026-04-13,Showmax,Entertainment,3876.14
2025-03-08,Bolt,Transport,3622.27
2025-10-25,Pharmacy,Medical,322.03
2025-08-01,Pharmacy,Medical,4839.08
2025-07-27,Electricity,Utilities,4611.74
2026-02-14,Spotify,Entertainment,4286.3
2025-02-14,Water Bill,Utilities,2837.4
2025-03-10,Water Bill,Utilities,2033.64
2025-09-05,Sanlam,Insurance,299.31
2025-11-27,Amazon,Shopping,4665.12
2025-07-28,Fuel Station,Transport,1133.33
2025-09-23,Water Bill,Utilities,2173.02
2026-01-04,Takealot,Shopping,4068.9
2026-06-16,Uber,Transport,654.32
2025-03-25,Pick n Pay,Food,4516.57
2026-08-13,Fuel Station,Transport,2732.12
2025-10-19,Pharmacy,Medical,4399.07
2025-01-27,Fuel Station,Transport,1664.45
2025-03-15,Doctor Visit,Medical,2328.58
2026-06-14,Doctor Visit,Medical,3962.02
2025-04-29,Clicks,Shopping,4610.61
2025-07-26,McDonalds,Food,3984.23
2025-11-20,Pharmacy,Medical,4239.03
2025-07-25,Electricity,Utilities,3657.18
2025-02-10,Bolt,Transport,3389.96
2025-08-26,Pharmacy,Medical,3992.85
2025-07-24,Electricity,Utilities,3984.19
2025-02-12,Woolworths,Food,2370.69
2025-08-12,Pick n Pay,Food,3943.96
2025-11-27,McDonalds,Food,1070.26
2025-07-20,Amazon,Shopping,4171.0
2025-08-21,Pharmacy,Medical,490.08
2025-08-08,Amazon,Shopping,4855.52
2026-06-11,Checkers,Food,4822.63
2026-07-16,Discovery,Insurance,4204.38
2026-02-15,Spotify,Entertainment,1381.7
2026-06-17,Netflix,Entertainment,1515.46
2026-08-21,Uber,Transport,1562.6
2025-10-28,Doctor Visit,Medical,1761.69
2025-12-17,Spotify,Entertainment,1282.07
2025-06-11,Doctor Visit,Medical,2809.47
2025-03-26,Pharmacy,Medical,81.77
2025-08-02,Sanlam,Insurance,540.89
2026-04-04,Checkers,Food,4493.14
2025-07-10,Clicks,Shopping,3010.83
2025-12-18,Clicks,Shopping,2095.51
2026-06-20,Bolt,Transport,116.72
2025-04-15,Discovery,Insurance,3564.31
2025-01-03,Electricity,Utilities,1371.5
2025-09-06,Old Mutual,Insurance,3724.46
2026-03-27,Amazon,Shopping,3856.28
2026-05-11,Sanlam,Insurance,3015.53
2025-03-19,Pick n Pay,Food,4053.34
2025-09-14,Checkers,Food,3800.62
2026-02-07,Electricity,Utilities,2418.08
2026-02-24,Electricity,Utilities,1799.12
2025-12-27,Takealot,Shopping,499.38
2026-05-27,Electricity,Utilities,752.34
2026-07-19,Fuel Station,Transport,3376.61
2026-04-25,Electricity,Utilities,2661.41
2026-07-21,Checkers,Food,4661.75
2026-04-21,Fuel Station,Transport,2509.61
2025-01-12,Showmax,Entertainment,2972.2
2025-08-27,Doctor Visit,Medical,4926.01
2026-06-25,Electricity,Utilities,3052.6
2026-08-16,Water Bill,Utilities,4396.42
2025-04-23,Checkers,Food,2978.75
2025-11-28,Checkers,Food,4709.2
2025-08-02,Doctor Visit,Medical,2840.16
2025-12-20,Takealot,Shopping,3410.74
2026-02-25,Checkers,Food,3520.81
2025-01-15,Takealot,Shopping,2040.7
2025-01-08,Electricity,Utilities,3975.72
2026-07-09,Takealot,Shopping,352.92
2026-06-22,Amazon,Shopping,2075.13
2026-07-03,Pharmacy,Medical,3474.71
2025-10-28,Takealot,Shopping,3239.02
2025-09-23,Checkers,Food,329.96
2025-06-23,Amazon,Shopping,3558.0
2025-08-13,Pharmacy,Medical,3210.35
2025-09-22,Spotify,Entertainment,1917.71
2025-11-12,Checkers,Food,4724.41
2025-07-10,Takealot,Shopping,3965.08
2025-07-06,Woolworths,Food,1846.53
2026-01-01,Showmax,Entertainment,535.86
2025-04-26,Pharmacy,Medical,3587.13
2026-03-23,Water Bill,Utilities,2174.61
2026-07-20,Checkers,Food,258.15
2026-01-11,Takealot,Shopping,2643.77
2026-01-13,Showmax,Entertainment,1735.2
2025-09-10,Takealot,Shopping,2637.37
2026-07-06,Spotify,Entertainment,1570.24
2026-03-23,Doctor Visit,Medical,619.18
2025-07-21,McDonalds,Food,4618.73
2025-03-23,Spotify,Entertainment,1374.66
2025-08-19,Showmax,Entertainment,1117.94
2025-11-26,Old Mutual,Insurance,643.2
2025-10-07,Pharmacy,Medical,760.69
2026-08-11,Fuel Station,Transport,4430.68
2025-01-21,Sanlam,Insurance,1521.52
2025-06-10,Clicks,Shopping,2708.77
2025-12-18,Pharmacy,Medical,3089.31
2025-06-15,Bolt,Transport,257.64
2026-07-23,Pharmacy,Medical,489.01
2025-12-08,Checkers,Food,1209.86
2026-03-16,Old Mutual,Insurance,1344.26
2026-04-15,Spotify,Entertainment,273.66
2026-05-25,Electricity,Utilities,3899.24
2025-09-06,Showmax,Entertainment,926.43
2025-10-09,Old Mutual,Insurance,4432.96
2026-03-27,Showmax,Entertainment,3567.03
2025-08-07,Bolt,Transport,701.09
2026-03-10,Pharmacy,Medical,4154.23
2026-03-30,Water Bill,Utilities,2903.0
2025-11-05,Sanlam,Insurance,1208.81
2025-01-17,Water Bill,Utilities,4791.49
2026-07-27,KFC,Food,1103.12
2026-04-25,Discovery,Insurance,2835.12
2025-03-16,Showmax,Entertainment,1557.35
2026-04-03,Bolt,Transport,395.24
2025-02-14,Uber,Transport,3328.92
2026-08-18,Netflix,Entertainment,1132.66
2026-05-28,KFC,Food,4590.22
2026-07-26,Clicks,Shopping,626.5
2025-09-17,Woolworths,Food,3840.76
2025-08-26,Discovery,Insurance,3747.47
2025-07-28,Electricity,Utilities,4663.98
2025-09-07,Pharmacy,Medical,1335.75
2025-09-19,Takealot,Shopping,3013.56
2025-06-30,Old Mutual,Insurance,1183.78
2025-09-19,Doctor Visit,Medical,2033.6
2025-03-13,Bolt,Transport,1932.2
2025-12-04,Doctor Visit,Medical,3536.37
2025-03-10,Old Mutual,Insurance,1613.6
2025-09-10,Doctor Visit,Medical,4937.33
2026-01-08,Discovery,Insurance,3694.98
2025-09-09,Takealot,Shopping,476.1
2026-04-25,Fuel Station,Transport,1923.54
2026-07-22,Fuel Station,Transport,835.22
2025-05-17,Checkers,Food,548.42
2025-01-02,Bolt,Transport,4937.85
2025-02-03,Old Mutual,Insurance,573.11
2025-07-25,Water Bill,Utilities,1982.57
2025-03-29,Pick n Pay,Food,2878.73
2025-02-13,Spotify,Entertainment,707.66
2025-03-13,Takealot,Shopping,1128.63
2025-03-17,Woolworths,Food,2212.36
2026-06-08,Discovery,Insurance,2591.44
2025-10-30,Fuel Station,Transport,3409.18
2026-04-12,Clicks,Shopping,3940.43
2026-07-05,Pick n Pay,Food,1584.44
2025-04-05,Uber,Transport,4878.14
2026-01-15,McDonalds,Food,932.32
2025-04-27,Showmax,Entertainment,4720.96
2025-07-08,Checkers,Food,3137.38
2025-10-26,Netflix,Entertainment,3080.53
2026-07-10,Bolt,Transport,3009.34
2026-03-02,Water Bill,Utilities,2489.65
2026-08-15,Bolt,Transport,3690.33
2026-04-12,Electricity,Utilities,2815.65
2025-02-26,Electricity,Utilities,4650.13
2026-07-27,KFC,Food,1558.65
2026-01-11,Discovery,Insurance,3040.36
2025-04-26,Bolt,Transport,3789.05
2025-04-28,Pick n Pay,Food,4266.74
2025-04-07,Fuel Station,Transport,1966.2
2025-08-26,Electricity,Utilities,2962.6
2026-04-27,Fuel Station,Transport,4378.1
2025-11-03,Water Bill,Utilities,3713.38
2026-02-10,Bolt,Transport,279.31
2025-03-18,Takealot,Shopping,1406.89
2025-05-16,Electricity,Utilities,3837.08
2026-04-16,Uber,Transport,1377.18
2025-07-18,Water Bill,Utilities,4132.94
2025-06-28,Discovery,Insurance,1273.91
2026-01-23,Netflix,Entertainment,4668.9
2025-11-04,Pharmacy,Medical,1750.47
2026-04-16,Woolworths,Food,4643.21
2025-02-11,Discovery,Insurance,2283.21
2025-06-20,McDonalds,Food,362.68
2025-02-14,Uber,Transport,2504.33
2026-02-18,Old Mutual,Insurance,4680.01
2025-01-29,Uber,Transport,1256.31
2025-05-05,Pharmacy,Medical,1765.37
2026-01-24,Uber,Transport,2740.98
2025-10-24,Doctor Visit,Medical,4054.35
2025-04-24,Pharmacy,Medical,4056.77
2025-07-24,Pharmacy,Medical,4164.1
2025-03-08,Pharmacy,Medical,2277.0
2026-01-22,Woolworths,Food,4504.17
2025-08-03,Pick n Pay,Food,4049.91
2026-01-26,Uber,Transport,2126.21
2025-08-28,Electricity,Utilities,2684.51
2025-10-19,Spotify,Entertainment,3301.26
2025-06-04,Electricity,Utilities,88.25
2026-06-27,Spotify,Entertainment,485.52
2025-05-17,Woolworths,Food,129.09
2026-05-10,Pharmacy,Medical,4251.7
2025-02-13,Amazon,Shopping,3080.44
2025-07-05,Netflix,Entertainment,1483.74
2026-01-24,Water Bill,Utilities,136.45
2026-01-07,Fuel Station,Transport,1266.67
2026-02-25,KFC,Food,4702.06
2025-05-17,Old Mutual,Insurance,2812.3
2025-09-22,Fuel Station,Transport,974.12
2026-08-11,Netflix,Entertainment,1241.79
2026-03-14,Netflix,Entertainment,3329.05
2026-03-04,Doctor Visit,Medical,85.7
2026-01-24,Netflix,Entertainment,297.95
2025-04-11,Checkers,Food,3548.61
2026-03-06,Bolt,Transport,3252.24
2025-02-03,Fuel Station,Transport,1123.35
2025-11-21,Doctor Visit,Medical,4226.26
2026-01-01,Woolworths,Food,950.17
2025-11-21,Amazon,Shopping,1690.84
2025-09-13,Showmax,Entertainment,4858.93
2025-05-20,KFC,Food,1839.62
2026-04-18,Uber,Transport,4987.16
2026-08-03,Sanlam,Insurance,1832.45
2026-01-02,Clicks,Shopping,1215.79
2025-02-15,Woolworths,Food,1694.83
2026-05-17,Showmax,Entertainment,254.65
2025-09-09,Fuel Station,Transport,542.15
2026-07-07,Electricity,Utilities,407.83
2026-02-02,McDonalds,Food,2439.75
2026-01-30,Water Bill,Utilities,2372.92
2025-02-08,Doctor Visit,Medical,3622.26
2025-02-21,Bolt,Transport,457.39
2025-12-31,Pharmacy,Medical,1872.58
2025-02-19,Pick n Pay,Food,2886.55
2025-09-05,Woolworths,Food,1923.75
2025-06-22,Electricity,Utilities,2148.21
2025-10-24,Takealot,Shopping,782.08
2025-10-10,Checkers,Food,2770.57
2025-09-21,Sanlam,Insurance,3772.49
2026-07-09,Spotify,Entertainment,1890.3
